Fecha,Media_Sin_Covid,IC_Inf_Sin_Covid,IC_Sup_Sin_Covid,Media_Con_Covid,IC_Inf_Con_Covid,IC_Sup_Con_Covid,Diferencia_Covid,Nivel_Rio_Exog
2025-08-01,55008.854417003524,49534.842193547054,60482.86664045999,54985.37278663117,49511.3605631747,60459.38501008764,-23.48163037235645,1.93
2025-09-01,55052.57310095841,47311.150773950176,62793.99542796665,55029.091470586056,47287.66914357782,62770.51379759429,-23.48163037235645,1.14
2025-10-01,55068.6217317773,45587.35443949761,64549.88902405698,55045.14010140493,45563.87280912525,64526.40739368462,-23.481630372363725,0.85
2025-11-01,55055.340106272015,44107.315659359076,66003.36455318495,55031.85847589965,44083.83402898671,65979.88292281258,-23.481630372363725,1.09
2025-12-01,55059.21391371106,42818.95047239763,67299.47735502449,55035.73228333869,42795.468842025264,67275.99572465212,-23.481630372363725,1.02
2026-01-01,55036.52447013953,41627.98767691317,68445.06126336589,55013.04283976717,41604.50604654082,68421.57963299353,-23.48163037235645,1.43
2026-02-01,55033.20406376321,40550.329046769664,69516.07908075675,55009.72243339085,40526.84741639731,69492.5974503844,-23.48163037235645,1.49
2026-03-01,55040.95167864129,39558.10702462481,70523.79633265777,55017.47004826893,39534.62539425245,70500.31470228541,-23.481630372363725,1.35
2026-04-01,55022.136042508806,38600.099372139404,71444.17271287821,54998.65441213645,38576.61774176705,71420.69108250586,-23.48163037235645,1.69
2026-05-01,54942.44628947711,37632.099723752086,72252.79285520213,54918.96465910475,37608.61809337972,72229.31122482978,-23.481630372363725,3.13
2026-06-01,54918.09664271743,36762.85199969322,73073.34128574163,54894.615012345064,36739.37036932086,73049.85965536928,-23.481630372363725,3.57
2026-07-01,54945.76669585343,35983.23211129407,73908.3012804128,54922.285065481075,35959.75048092171,73884.81965004044,-23.48163037235645,3.07
2026-08-01,54979.52416067936,35242.69240649042,74716.3559148683,54956.042530307,35219.21077611807,74692.87428449593,-23.48163037235645,2.46
2026-09-01,55027.11665207329,34545.23838088655,75508.99492326003,55003.63502170093,34521.75675051419,75485.51329288767,-23.48163037235645,1.6
2026-10-01,55044.82548608033,33844.067307697595,76245.58366446306,55021.34385570797,33820.58567732524,76222.1020340907,-23.48163037235645,1.28
2026-11-01,55035.41766801409,33139.36877418822,76931.46656183996,55011.93603764173,33115.88714381586,76907.9849314676,-23.48163037235645,1.45
2026-12-01,55039.29147545313,32469.360882219935,77609.22206868633,55015.809845080774,32445.87925184758,77585.74043831397,-23.48163037235645,1.38
2027-01-01,55018.81563613249,31794.548655107777,78243.0826171572,54995.33400576012,31771.067024735414,78219.60098678483,-23.481630372363725,1.75
2027-02-01,55017.155432944324,31156.489335191192,78877.82153069746,54993.67380257197,31133.007704818836,78854.3399003251,-23.48163037235645,1.78
2027-03-01,55026.563251010564,30546.036368383706,79507.09013363742,55003.08162063821,30522.55473801135,79483.60850326507,-23.48163037235645,1.61
2027-04-01,55008.3010159408,29923.225646838015,80093.37638504358,54984.819385568444,29899.74401646566,80069.89475467123,-23.48163037235645,1.94
2027-05-01,54930.27146609727,29254.87826373096,80605.66466846358,54906.78983572491,29231.396633358596,80582.18303809121,-23.481630372363725,3.35
2027-06-01,54907.028621463025,28654.588241211346,81159.46900171471,54883.54699109067,28631.10661083899,81135.98737134234,-23.48163037235645,3.77
2027-07-01,54906.4752204003,28089.40163394759,81723.54880685301,54882.993590027945,28065.920003575233,81700.06717648066,-23.48163037235645,3.78
