Fecha,Media,IC_Inferior,IC_Superior,Nivel_Rio_Exog,Cuarentena_Covid
2025-08-01,55008.854417003524,49534.842193547054,60482.86664045999,1.93,0
2025-09-01,55052.57310095841,47311.150773950176,62793.99542796665,1.14,0
2025-10-01,55068.6217317773,45587.35443949761,64549.88902405698,0.85,0
2025-11-01,55055.340106272015,44107.315659359076,66003.36455318495,1.09,0
2025-12-01,55059.21391371106,42818.95047239763,67299.47735502449,1.02,0
2026-01-01,55036.52447013953,41627.98767691317,68445.06126336589,1.43,0
2026-02-01,55033.20406376321,40550.329046769664,69516.07908075675,1.49,0
2026-03-01,55040.95167864129,39558.10702462481,70523.79633265777,1.35,0
2026-04-01,55022.136042508806,38600.099372139404,71444.17271287821,1.69,0
2026-05-01,54942.44628947711,37632.099723752086,72252.79285520213,3.13,0
2026-06-01,54918.09664271743,36762.85199969322,73073.34128574163,3.57,0
2026-07-01,54945.76669585343,35983.23211129407,73908.3012804128,3.07,0
2026-08-01,54979.52416067936,35242.69240649042,74716.3559148683,2.46,0
2026-09-01,55027.11665207329,34545.23838088655,75508.99492326003,1.6,0
2026-10-01,55044.82548608033,33844.067307697595,76245.58366446306,1.28,0
2026-11-01,55035.41766801409,33139.36877418822,76931.46656183996,1.45,0
2026-12-01,55039.29147545313,32469.360882219935,77609.22206868633,1.38,0
2027-01-01,55018.81563613249,31794.548655107777,78243.0826171572,1.75,0
2027-02-01,55017.155432944324,31156.489335191192,78877.82153069746,1.78,0
2027-03-01,55026.563251010564,30546.036368383706,79507.09013363742,1.61,0
2027-04-01,55008.3010159408,29923.225646838015,80093.37638504358,1.94,0
2027-05-01,54930.27146609727,29254.87826373096,80605.66466846358,3.35,0
2027-06-01,54907.028621463025,28654.588241211346,81159.46900171471,3.77,0
2027-07-01,54906.4752204003,28089.40163394759,81723.54880685301,3.78,0
